amount,total,price,type
0.0607,59.12218999999984,42840.0,buy
0.00255,59.12473999999984,42839.83,buy
0.01024,59.13497999999984,42838.71,buy
0.00046,59.13543999999984,42838.36,buy
0.0005,59.13593999999984,42838.2,buy
0.00194,59.13787999999984,42837.58,buy
0.00155,59.13942999999984,42837.42,buy
0.00277,59.14219999999984,42837.33,buy
0.00103,59.14322999999984,42836.73,buy
0.00051,59.14373999999984,42835.86,buy
0.00078,59.14451999999984,42835.3,buy
0.00069,59.145209999999835,42834.6,buy
0.00081,59.14601999999984,42834.37,buy
0.00048,59.14649999999984,42833.82,buy
0.00273,59.14922999999984,42833.69,buy
0.0019,59.15112999999984,42833.47,buy
0.00129,59.152419999999836,42833.08,buy
0.00046,59.15287999999983,42832.99,buy
0.0005,59.153379999999835,42832.15,buy
0.00079,59.15416999999984,42832.03,buy
0.00093,59.155099999999834,42831.33,buy
0.00046,59.15555999999983,42830.58,buy
0.00066,59.156219999999834,42830.53,buy
0.0003,59.15651999999984,42830.0,buy
0.00052,59.15703999999984,42828.97,buy
0.00093,59.157969999999835,42827.05,buy
0.00117,59.15913999999984,42826.82,buy
0.00026,59.159399999999835,42826.08,buy
0.0101,59.169499999999836,42825.0,buy
0.00092,59.17041999999984,42824.81,buy
0.00024,59.170659999999835,42822.81,buy
